Symbol,Resistance,Support,Logged_On,Position,Timeline,Comments
ESCORTS,-,-,6-Nov-24,Long,1,SS.2_Perfect
ICICIPRULI,-,-,6-Nov-24,Short,1,SS.2_Early
COLPAL,-,-,6-Nov-24,Short,1,SS.2_Frequent
CUMMINSIND,-,-,10-Nov-24,Long,1,SS.2_Perfect
ASHOKLEY,-,-,10-Nov-24,Long,1,SS.2_Perfect
BIOCON,-,-,11-Nov-24,Long,1,SS.2_Perfect
VOLTAS,-,-,11-Nov-24,Long,1,SS.2_EARLY
RECLTD,-,-,11-Nov-24,Long,1,V.SSBEST
