SYMBOL,SERIES,LAST,TOTTRDVAL
JSWSTEEL,EQ,720.75,599998334.2
RIIL,EQ,852,595259656.3
VOLTAS,EQ,823,595127138.7
MARKSANS,EQ,76.85,587109061.7
ICICIPRULI,EQ,442.1,573437273.1
AXITA,EQ,67.75,572982344.7
PEL,EQ,701,571290083.7
CUB,EQ,126.45,560231378.6
DMART,EQ,3497,557249537
GUJALKALI,EQ,644.95,554299029.4
JBCHEPHARM,EQ,2175,551517306.3
LUPIN,EQ,671.8,549995481.1
TATAELXSI,EQ,6270,543992709.3
TEJASNET,EQ,643.1,538356416.4
BCG,EQ,15.45,538275992.2
FINCABLES,EQ,838.8,537473457.2
OBEROIRLTY,EQ,914,519825051.3
POONAWALLA,EQ,293.15,519189581.4
TRENT,EQ,1357.2,516772731.3
IBULHSGFIN,EQ,102.4,516440728.8
BANKBEES,EQ,425.46,508488639.4
MFSL,EQ,627,504970009.6
SONATSOFTW,EQ,850.75,503544617.6
GMRINFRA,EQ,43.9,498873070
IOC,EQ,77.25,495675957
OLECTRA,EQ,641.2,488234960.3
BOSCHLTD,EQ,18915,483981634.7
CHAMBLFERT,EQ,289,480205469
TATACHEM,EQ,1025.7,479729589.9
AWL,EQ,410.3,479042851.5
IBREALEST,EQ,57.45,479012955.4
DEEPAKFERT,EQ,643.7,475231338.6
SYNGENE,EQ,618.65,474146595
ICICILIQ,EQ,1000,473154761.5
NMDC,EQ,111.3,467571047.5
BALKRISIND,EQ,2066.7,464959521.7
JAICORPLTD,EQ,151.9,461993591.9
MAZDOCK,EQ,703.5,459864494.9
HONAUT,EQ,36430,452187744
NIFTYBEES,EQ,194.85,452001413.2
UCOBANK,EQ,26.4,447979324.7
BALAMINES,EQ,2485,446758083.1
CGPOWER,EQ,296.5,443480598
GRASIM,EQ,1703.5,438620969.6
INDUSTOWER,EQ,137.8,437977528
DENORA,EQ,1067,435257263.8
NEOGEN,EQ,1608,430312954.7
GUJGASLTD,EQ,463.25,424967447.6
TIINDIA,EQ,2603,424890074.9
INDIGO,EQ,1882,421922428.8
HINDZINC,EQ,319.05,419168197.9
MAHABANK,EQ,27.65,416134433.2
GNFC,EQ,547,413783644.9
ARVIND,EQ,98.25,413407336.5
LXCHEM,EQ,266.6,411808486.2
OIL,EQ,261.45,408872341.5
VINYLINDIA,EQ,550,408418331
MANAPPURAM,EQ,127.05,407369349.9
SUZLON,EQ,8.05,399718611.4
POLICYBZR,EQ,584,399639280.5
MOTHERSON,EQ,68.3,398118261.8
STARHEALTH,EQ,596,392065317
MGL,EQ,991,388790486.6
MSUMI,EQ,50,387075087
INGERRAND,EQ,2770,384121470.3
NYKAA,EQ,126.3,381207171.3
DBREALTY,EQ,87.05,380536596.1
SURYAROSNI,EQ,753.5,380283241.8
ZYDUSLIFE,EQ,503.25,377717432.1
REDINGTON,EQ,174.85,375315616.1
JKPAPER,EQ,380.7,371682525
WHIRLPOOL,EQ,1344,370430940.5
AAVAS,EQ,1781,369752498.9
APLAPOLLO,EQ,1192,368843016.7
JSL,EQ,265.05,367896233.3
SUVENPHAR,EQ,464.5,363453343.7
TATACONSUM,EQ,718,361869878.9
LICHSGFIN,EQ,327,358662004.6
STOVEKRAFT,EQ,390,356997546.9
CREDITACC,EQ,955.85,351163073.8
BDL,EQ,988,349412367.8
ANGELONE,EQ,1265,347641596.3
AARTIDRUGS,EQ,413.65,344724501.4
USHAMART,EQ,219.65,340903039
IRFC,EQ,27.5,335666840.2
EDELWEISS,EQ,56.9,335636133.4
SCHAEFFLER,EQ,3026.1,333280384.2
TANLA,EQ,628,333079293.7
MUTHOOTFIN,EQ,1034.25,327672203.4
EXIDEIND,EQ,184.6,327065635.5
ERIS,EQ,596.7,325683684.2
ELECON,EQ,450.7,323266194.7
KALYANKJIL,EQ,104.3,313764693.9
PVR,EQ,1530.25,313405530.5
ASTRAL,EQ,1443,311177885.6
LICI,EQ,551.35,309708196.5
DELTACORP,EQ,190.8,309552510.5
ZENTEC,EQ,310,307283079.1
FLUOROCHEM,EQ,3100,303939670
TRIDENT,EQ,31.45,302710860.4
MCDOWELL-N,EQ,762.8,297295762.7
JKLAKSHMI,EQ,790,297089861.1
BSOFT,EQ,263.55,295994100.6
CHENNPETRO,EQ,255.15,294868136.7
NCC,EQ,107.7,292747490.3
KARURVYSYA,EQ,99.65,292729089.8
GLAND,EQ,1250.5,292317556.9
APOLLOTYRE,EQ,323.25,289730966
COLPAL,EQ,1548,287452874.3
DEVYANI,EQ,156.9,285401057.1
FIVESTAR,EQ,525,284294750.3
JBMA,EQ,755.9,280382388.8
GPPL,EQ,114,277265812.8
METROPOLIS,EQ,1287.65,275099232.4
GSFC,EQ,128,273710616.1
TATAINVEST,EQ,2065,267059321.6
ASHOKA,EQ,84.2,266345371.3
UTIAMC,EQ,696.2,265306358.8
SOLARA,EQ,376.4,261892232.4
IOB,EQ,23.65,261229344.2
LALPATHLAB,EQ,1905,256609243.1
INDIACEM,EQ,186,255118247.7
TWL,EQ,281,254594599.1
JPPOWER,EQ,6.05,254089264.6
VENUSPIPES,EQ,848.1,251646698.4
TRITURBINE,EQ,340.6,251239158.1
ENDURANCE,EQ,1265.8,244549387.9
ACI,EQ,582,244298164
RHIM,EQ,648.35,242102693.8
WSTCSTPAPR,EQ,564.5,240910019.2
ABCAPITAL,EQ,157.65,240513306.8
KABRAEXTRU,EQ,531.9,239471800.9
IDEA,EQ,6.1,238546710.4
IRCON,EQ,58.3,233641984.1
ZFCVINDIA,EQ,9995,233290444.7
IDFC,EQ,77.65,232290846.6
CYIENT,EQ,1070,230974412.9
CANFINHOME,EQ,567.9,230263643.7
ATULAUTO,EQ,415,229838139.1
VINATIORGA,EQ,2024.25,229143021.6
GLENMARK,EQ,490.1,227732164
SUPREMEIND,EQ,2640,227086648.4
IIFL,EQ,461.5,226867626.1
AARTIIND,EQ,546.75,226842653.6
SOUTHBANK,EQ,15.4,225790441.2
MCX,EQ,1469,224638065.8
PCBL,EQ,115.65,220958497
EKC,EQ,102.8,219886459.8
ABBOTINDIA,EQ,22500,219225072.2
ROUTE,EQ,1272,214724773.8
MRF,EQ,85594.1,213533844
BLUEDART,EQ,6060,211438318.6
ITBEES,EQ,29.64,211101009.4
NAM-INDIA,EQ,236.5,209652150.8
SPIC,EQ,66,207682019.5
CHEMPLASTS,EQ,409.7,207230027.3
CERA,EQ,6475,207158202.6
AIAENG,EQ,2873,204024895.7
SHRIRAMFIN,EQ,1300,201041329.8
RAYMOND,EQ,1309,200437132.5
SUNTV,EQ,429.85,200191706
INDIANB,EQ,286.55,198857906.1
IOLCP,EQ,359.45,198557604.5
LATENTVIEW,EQ,367,197486684.5
CROMPTON,EQ,296.8,195980948.1
RAMCOCEM,EQ,743.5,195695119.6
BERGEPAINT,EQ,578,194942668.2
CHOLAHLDNG,EQ,604,194056243.9
LIQUIDETF,EQ,1000,194034014.5
HFCL,EQ,63.95,193227489.4
SOBHA,EQ,444,192262894.1
CENTRALBK,EQ,25.75,191270199.8
COROMANDEL,EQ,929.55,190522781.6
JUSTDIAL,EQ,646,188437704.9
DCAL,EQ,135.55,187705177.5
LODHA,EQ,912,186781813.7
J&KBANK,EQ,51.55,186100662.5
PARADEEP,EQ,54.05,185112646
RAIN,EQ,157.85,184978973.6
PPLPHARMA,EQ,71.45,182978136.2
UNICHEMLAB,EQ,367.95,179867006.2
EQUITASBNK,EQ,68.5,178649673.2
CDSL,EQ,1000,178491233.8
TORNTPOWER,EQ,535.55,177326658.9
KOLTEPATIL,EQ,254.5,176970366.7
SCI,BE,89.95,176503904.5
RADICO,EQ,1104,176395461.2
RAJESHEXPO,EQ,587.95,175763796.2
GRANULES,EQ,297.9,175408890.8
ASTRAMICRO,EQ,261.2,174566472.9
SHILPAMED,EQ,253.9,174009354.6
IRB,EQ,26.85,173070547.6
WELCORP,EQ,221,172095088
BAJAJHLDNG,EQ,5952.95,170717738.5
PRICOLLTD,EQ,230.35,170599212.2
TNPL,EQ,242,170000933.8
TIIL,EQ,1505.05,166653540
RAINBOW,EQ,763,166478327.9
BOMDYEING,EQ,77.6,165973960.2
JKCEMENT,EQ,2972,165407068.9
TATACOMM,EQ,1268,165170740.2
RENUKA,EQ,46.25,164912726.3
GESHIP,EQ,647.5,163375121.7
PFOCUS,EQ,99.8,162910721.2
PHOENIXLTD,EQ,1300.5,162736724.3
CSBBANK,EQ,268.2,162650504.5
VAKRANGEE,EQ,16.95,162108618.8
ANDHRAPAP,EQ,458.65,160753664.9
GOLDBEES,EQ,51.95,159217188.9
SUNCLAYLTD,EQ,3800.5,157091816.4
BLUESTARCO,EQ,1474,156677899.9
L&TFH,EQ,87.6,156505965.4
ROSSARI,EQ,674.95,156321270.9
NEWGEN,EQ,460,152972844.8
TRIVENI,EQ,266.2,152930538.5
MOREPENLAB,EQ,27.4,152667745.1
COCHINSHIP,EQ,487.6,151415362.2
DELHIVERY,EQ,325.1,150169543.7
HINDCOPPER,EQ,100.55,149967692.6
JUBLINGREA,EQ,398,149683517.5
ALLCARGO,EQ,346.2,149391204.4
CENTURYPLY,EQ,502,149367134.8
ASTEC,EQ,1350,148802349.5
OFSS,EQ,3307.25,148222744
MTARTECH,EQ,1700,147986099.3
PTC,EQ,95.6,147428798.2
CEATLTD,EQ,1434.75,145494164.1
SILVERBEES,EQ,74.9,144692763.2
KTKBANK,EQ,130.5,142422061.3
UJJIVAN,EQ,257.5,142389165.8
RITES,EQ,344.8,142004672.6
ANANTRAJ,EQ,141.95,141899073.7
KIRLOSENG,EQ,401.7,141693532.4
KEC,EQ,483.8,141445053.2
GALAXYSURF,EQ,2490,141136011.1
JTLIND,EQ,344,141114384.6
FSL,EQ,115,140479311.6
PRESTIGE,EQ,449.05,139671928
HAPPSTMNDS,EQ,808.8,138936492.2
ACE,EQ,402.1,137355711
BLS,EQ,173.15,137146309.3
FORTIS,EQ,265.35,136741373.2
AGI,EQ,375.05,136698558.7
AMARAJABAT,EQ,569,136668725.3
JINDALSAW,EQ,163.45,136347491.1
ATUL,EQ,7095,135849072.5
NBCC,EQ,38,133642718.8
IPCALAB,EQ,820,133567540
MEDANTA,EQ,488,132596049.4
UBL,EQ,1390.4,132150679.9
MAHINDCIE,EQ,365.4,129819062.2
GOODLUCK,EQ,449.8,129696952.3
LINDEINDIA,EQ,4196.8,128888736.5
RKFORGE,EQ,305.3,128759485.2
MEDPLUS,EQ,713.2,128216159.4
RELIGARE,EQ,144.2,128048242.2
MFL,EQ,1015,127774904.7
BSE,EQ,459.8,127648654.4
SYRMA,EQ,294.5,127430124.5
AARTIPHARM,EQ,323.95,126160420.7
GOKEX,EQ,356.9,124033711.5
KEI,EQ,1753,123766581.8
MANYAVAR,EQ,1225.9,121803928.7
LEMONTREE,EQ,77.25,121534353.1
JSWENERGY,EQ,245.1,121382470.8
GRINDWELL,EQ,1939.85,119776323.2
SEPC,EQ,9.95,119373522.8
WOCKPHARMA,EQ,169.7,118528697.9
HCC,EQ,14.35,117880743.7
AJANTPHARM,EQ,1256.7,117000398.1
GMMPFAUDLR,EQ,1489,116678737.9
LUMAXTECH,EQ,284.8,114530753.2
SETFNIF50,EQ,184.25,114136303.3
DHANI,EQ,37.8,113969835.3
ASTERDM,EQ,248.7,113741519.8
CHOICEIN,EQ,305,113285038.6
FINEORG,EQ,4480.9,112407887.5
PGINVIT,IV,122,112099330.3
ZENSARTECH,EQ,280.65,111897388.9
SOMANYCERA,EQ,509,111743706
AFFLE,EQ,940,111509851.3
EASEMYTRIP,EQ,45.25,110853858.9
NIITLTD,EQ,370.15,110583846.4
ASHAPURMIN,EQ,133.8,110036976.1
GODFRYPHLP,EQ,1790,109980061
DCBBANK,EQ,101.25,109370562.5
NH,EQ,774.2,108492707
BHAGCHEM,EQ,1375,108269074.5
PATANJALI,BE,970,107378001.3
GSPL,EQ,276.4,105367472.7
MAPMYINDIA,EQ,1027,105308024.8
SIYSIL,EQ,497,104440567.5
NUVOCO,EQ,332,104214706.7
BARBEQUE,EQ,647.35,104193900.1
GLS,EQ,414.55,101685941.1
BASF,EQ,2399.95,101346542.4
SANOFI,EQ,5935,101175584.2
FINPIPE,EQ,170.7,101117028.8
UJJIVANSFB,EQ,26.75,100938686.4
EMAMILTD,EQ,360.85,99188414.15
SEAMECLTD,EQ,705,99064646
RATEGAIN,EQ,359.35,99018737.45
GRINFRA,EQ,986.9,98183048.45
DREAMFOLKS,EQ,449.8,98092890.4
INTELLECT,EQ,432.9,97996776.2
AIRTELPP,E1,382.4,97682098.3
GOACARBON,EQ,494,96535167.8
RATNAMANI,EQ,2073.65,96359614
CARBORUNIV,EQ,986.6,96169077.95
SOTAC,ST,120.75,96083280
TTML,EQ,62.25,95610182.35
KANSAINER,EQ,379.95,94739220.7
HSCL,EQ,91,93743670.4
ECLERX,EQ,1336.6,93743009.5
NEULANDLAB,EQ,2056,93647755.7
ICICITECH,EQ,29.53,93051100.74
JISLJALEQS,EQ,35.8,92763427.95
ALOKINDS,EQ,12.9,92660226.55
CAMS,EQ,2141,90839203.55
VIKASLIFE,EQ,3.25,90834718.25
MHRIL,EQ,290.55,90538033.9
HARIOMPIPE,EQ,507.05,90212258.2
SUNDRMFAST,EQ,994,89613004.65
EIDPARRY,EQ,511.1,86910125.6
CAREERP,EQ,236.2,86881437.65
IFBIND,EQ,825.3,86850978.75
NUCLEUS,EQ,623,86065915.65
GRSE,EQ,467,85988345.9
SDBL,EQ,151,84057138.25
NAZARA,EQ,539,83426197.8
NSLNISP,EQ,31.65,83320980
AEGISCHEM,EQ,385.1,83049636.4
UGROCAP,EQ,156.4,82956560.5
TIMKEN,EQ,2965.25,82947743.75
HIKAL,EQ,310.6,82910511.6
GSLSU,EQ,183.6,82599185.45
BBL,EQ,2693.8,82516801.75
TV18BRDCST,EQ,30.15,82505240.05
TVSELECT,EQ,361.6,82069640.9
RSYSTEMS,EQ,256.6,81486167.35
SJVN,EQ,33.15,80750533.7
DHAMPURSUG,EQ,240.7,79477882.5
SPARC,EQ,187.15,79412665.2
VERTOZ,EQ,217.1,79266888.55
MRPL,EQ,53.45,78692348.7
ELGIEQUIP,EQ,466,78318030
BECTORFOOD,EQ,571.35,78265021.1
BAJAJHIND,EQ,13.85,78044413.15
CLEAN,EQ,1464,77942839.35
CRISIL,EQ,3500,75943837.1
KPRMILL,EQ,608,75465622.95
PENIND,EQ,77.8,75234931.85
AMIORG,EQ,980.4,74467707.85
KALPATPOWR,EQ,533.8,74340355.2
SUNDARMFIN,EQ,2325,74233112.35
QUESS,EQ,368.75,73941645.75
VSSL,EQ,410.9,73669372.9
ALKYLAMINE,EQ,2420,73338098.15
LANDMARK,EQ,572.5,72427660.1
ORISSAMINE,EQ,2794.6,72228994.95
SOLARINDS,EQ,3802,72113124.5
NLCINDIA,EQ,79.3,72011925.05
GMDCLTD,EQ,132.6,71430278.45
BESTAGRO,EQ,1084.15,71100593.6
KAMOPAINTS,EQ,231.5,71034898.9
HBLPOWER,EQ,100.45,70957358.2
HINDOILEXP,EQ,135.65,70630228.65
HUDCO,EQ,44.75,70438989.45
VIPIND,EQ,599,70319126.95
NAVA,EQ,232.15,70304973.6
KPIGREEN,EQ,450.6,70170651.8
SIS,EQ,378,69960792.2
CLSEL,EQ,172.1,69856530.45
DWARKESH,EQ,92.4,69225745.45
JMFINANCIL,EQ,64.3,69117575.8
KAYNES,EQ,950.05,68759015.95
ORIENTELEC,EQ,229.5,68628930.4
SWSOLAR,EQ,298.5,68605843.6
ENGINERSIN,EQ,75,68459715.65
LOKESHMACH,EQ,132.9,68107438.05
PRAJIND,EQ,339.45,67594290.4
KNRCON,EQ,244.1,67426937.15
SEQUENT,EQ,71.5,67303836.1
KOPRAN,EQ,145,67060961.35
WALCHANNAG,EQ,64.75,66884620.35
PRINCEPIPE,EQ,593,66738135.35
VALIANTORG,EQ,465,65911921.3
SHAREINDIA,EQ,1165,65490275.55
JPASSOCIAT,EQ,7.7,65299735.85
TATACOFFEE,EQ,209.1,65129586.4
MAHSEAMLES,EQ,386.5,65077197.3
CASTROLIND,EQ,113.5,65038376.9
KRSNAA,EQ,495.7,64971531.3
PARAS,EQ,519.5,64691415.4
VRLLOG,EQ,637.9,64115311.7
TIMETECHNO,EQ,83.15,63802089.65
APTECHT,EQ,416.5,63657494.35
GOYALALUM,BE,362.8,63534208.8
FUSION,EQ,404.5,63302818.4
ORIENTPPR,EQ,40.45,63284745.65
RUSHIL,EQ,258.6,62931708.65
BLKASHYAP,EQ,35.5,62765089.35
POWERMECH,EQ,2480,62662820.05
BEML,EQ,1224,62500553.25
PHARMABEES,EQ,12.63,62346845.02
PGEL,EQ,1437.3,62185033.8
NATCOPHARM,EQ,574,61873530.05
VENKEYS,EQ,1553,61557024.05
DSPNEWETF,EQ,206.25,61301390.54
GREAVESCOT,EQ,132.55,60892839.75
GIPCL,EQ,74,60647057.8
TRIL,EQ,63.85,60484793.9
GLAXO,EQ,1258.6,59866026.45
KAMDHENU,EQ,365,59498689.7
WABAG,EQ,354.5,59479975.45
STLTECH,EQ,161,58849905.75
WELENT,EQ,128.55,58780224.5
TASTYBITE,EQ,9401,58595539.15
NELCO,EQ,535.6,58461438.3
SCAPDVR,EQ,19.2,58146154.1
PGHH,EQ,14080.05,57809584.15
SUPRIYA,EQ,221.9,57423418.35
