Symbol,Logged_On,Timeline
HILTON,15-May-23,30
TARC,18-May-23,5
PFC,11-May-23,15
KFINTECH,18-May-23,5
DCXINDIA,18-May-23,10
SNOWMAN,21-May-23,10
AJANTPHARM,21-May-23,6
ARVIND,21-May-23,6
CHEMPLASTS,21-May-23,6
